"ITP","ITI","ITI_factor","Ultimate","Delta","Censored"
717931.82339,717931.82339,717931.82339,734691.2,1,0
208387.77816,209360.31181,209360.31181,211227.35,0,1
88696.93938,88696.93938,88696.93938,88825.99,1,0
539417.66068,979376.92306,979376.92306,988110.84,0,1
501574.88005,825019.00008,825019.00008,832376.38,0,1
1308987.2805,1673163.72827,1673163.72827,1688084.71,0,1
258922.12295,258922.12295,258922.12295,260577.3,1,0
762412.14619,772526.49618,772526.49618,779415.75,0,1
905801.01173,1052584.39376,1052584.39376,1061971.16,0,1
109828.97349,109828.97349,109828.97349,111177.43,1,0
303277.13854,303277.13854,303277.13854,303277.14,1,0
7361.33165,7361.33165,7361.33165,478273.35,1,0
671990.82984,671990.82984,671990.82984,672065.64,1,0
1057312.40352,1057312.40352,1057312.40352,1057312.4,1,0
22347.70118,22347.70118,22347.70118,22347.7,1,0
35562.93732,35562.93732,35562.93732,35562.94,1,0
565186.06196,565186.06196,565186.06196,565186.06,1,0
1664.52875,1664.52875,1664.52875,34012.49,1,0
553412.79399,553412.79399,553412.79399,553412.79,1,0
184925.40379,184925.40379,184925.40379,184925.4,1,0
162678.69648,162678.69648,162678.69648,162678.7,1,0
276.79804,276.79804,276.79804,276.8,1,0
391884.30558,391884.30558,391884.30558,391884.31,1,0
127815.23529,127815.23529,127815.23529,127815.24,1,0
260298.63212,260298.63212,260298.63212,260298.63,1,0
41508.4844,41508.4844,41508.4844,41508.48,1,0
360.95961,360.95961,360.95961,9418.61,1,0
685725.99743,1261449.08746,1261449.08746,1272698.47,0,1
271548.22812,292113.57436,292113.57436,294718.59,0,1
62025.20395,62025.20395,62025.20395,64024.51,1,0
43.01591,43.01591,43.01591,95747.81,1,0
272006.44109,272006.44109,272006.44109,272006.44,1,0
264198.11802,264198.11802,264198.11802,264198.12,1,0
142717.44326,142717.44326,142717.44326,142717.44,1,0
700656.25925,1322870.1984,1322870.1984,1334667.32,0,1
211879.54802,211879.54802,211879.54802,222119.21,1,0
64325.62009,64325.62009,64325.62009,64325.62,1,0
219863.67526,219863.67526,219863.67526,219863.68,1,0
3093.40512,3093.40512,3093.40512,3093.41,1,0
320535.87036,320535.87036,320535.87036,320535.87,1,0
131017.11532,294335.43971,294335.43971,296960.27,0,1
826571.31341,933838.03478,933838.03478,942165.84,0,1
46861.16,46861.16,46861.16,46861.16,1,0
837299.1077,837299.1077,837299.1077,837299.11,1,0
121023.40357,121023.40357,121023.40357,121023.4,1,0
411884.78443,415528.09314,459884.246014285,423155.57,0,1
110777.83597,367075.50907,406259.520128499,373813.58,0,1
663858.39217,663858.39217,663858.39217,669414.3,1,0
761890.95095,761890.95095,761890.95095,761890.95,1,0
376557.47662,376557.47662,376557.47662,376557.48,1,0
815.82741,815.82741,815.82741,815.83,1,0
145824.19658,145824.19658,145824.19658,145824.2,1,0
149577.36285,149577.36285,149577.36285,149577.36,1,0
169897.40842,169897.40842,169897.40842,169897.41,1,0
779995.83601,937711.66256,1037809.06281567,954924.39,0,1
379608.27492,660254.70421,730734.556425521,672374.41,0,1
57066.49686,57066.49686,57066.49686,57066.5,1,0
306041.53366,665924.07437,737009.111779181,678147.84,0,1
542928.63766,542928.63766,542928.63766,542928.64,1,0
39980.94582,39980.94582,39980.94582,39980.95,1,0
233843.50947,233843.50947,233843.50947,233843.51,1,0
85242.258,85242.258,85242.258,85242.26,1,0
408992.46916,408992.46916,408992.46916,408992.47,1,0
186077.08488,186077.08488,186077.08488,186077.08,1,0
207796.46355,207796.46355,207796.46355,207796.46,1,0
231738.20651,231738.20651,231738.20651,231738.21,1,0
177722.50795,177722.50795,177722.50795,180087.15,1,0
615011.40147,615011.40147,615011.40147,615011.4,1,0
75527.96873,75527.96873,75527.96873,79216.3,1,0
418022.39989,722668.20234,799810.474522251,735933.57,0,1
354382.45924,354382.45924,354382.45924,370862.89,1,0
95388.77371,95388.77371,95388.77371,95680.53,1,0
428563.32223,445657.87799,493230.278730409,453838.42,0,1
184789.41027,184789.41027,184789.41027,184789.41,1,0
106392.53853,106392.53853,106392.53853,106392.54,1,0
216590.47069,372653.0311,412432.422889446,379493.49,0,1
594100.64643,594100.64643,594100.64643,597119.03,1,0
281363.20481,510434.21399,564921.259274752,519803.8,0,1
186711.01699,186711.01699,186711.01699,188086.94,1,0
26517.09218,378947.32865,419398.614419596,385903.32,0,1
2318916.46901,2318916.46901,2318916.46901,2319038.93,1,0
229144.84787,575851.68589,637321.814706647,586422.08,0,1
523084.04117,523084.04117,523084.04117,523084.04,1,0
656564.57097,656564.57097,656564.57097,688192.74,1,0
163316.76085,163316.76085,163316.76085,163316.76,1,0
100973.49952,284918.26729,315332.283644686,290148.26,0,1
