Company,AY,Unique ID,DY,Indexed Total P,Indexed Total O,Indexed Total Incurred
CY 2,1995,145,1995,0,3.430,3.430
CY 2,1995,145,1996,82,310.098,310.180
CY 2,1995,145,1997,23.827,59.048,82.875
CY 2,1995,145,1998,25.275,23.517,48.791
CY 2,1995,145,1999,35.563,0,35.563
CY 2,1995,145,2000,35.563,0,35.563
CY 2,1995,145,2001,35.563,0,35.563
CY 2,1995,145,2002,35.563,0,35.563
CY 2,1995,145,2003,35.563,0,35.563
CY 2,1995,145,2004,35.563,0,35.563
CY 2,1995,145,2005,35.563,0,35.563
CY 2,1995,145,2006,35.563,0,35.563
CY 2,1995,145,2007,35.563,0,35.563
CY 2,1995,145,2008,35.563,0,35.563
CY 2,1995,145,2009,35.563,0,35.563
CY 2,1995,145,2010,35.563,0,35.563
CY 2,1995,146,1995,65.156,851.758,916.914
CY 2,1995,146,1996,65.156,870.487,935.643
CY 2,1995,146,1997,65.156,625.322,690.478
CY 2,1995,146,1998,12.260,640.028,652.288
CY 2,1995,146,1999,547.565,103.083,650.647
CY 2,1995,146,2000,547.565,55.242,602.806
CY 2,1995,146,2001,565.186,32.819,598.005
CY 2,1995,146,2002,565.186,23.593,588.779
CY 2,1995,146,2003,565.186,22.937,588.123
CY 2,1995,146,2004,565.186,43.023,608.209
CY 2,1995,146,2005,565.186,43.373,608.559
CY 2,1995,146,2006,565.186,43.373,608.559
CY 2,1995,146,2007,565.186,0,565.186
CY 2,1995,146,2008,565.186,0,565.186
CY 2,1995,146,2009,565.186,0,565.186
CY 2,1995,146,2010,565.186,0,565.186
CY 2,1995,147,1995,1.665,0,1.665
CY 2,1995,147,1996,10.432,42.808,53.241
CY 2,1995,147,1997,22.103,281.808,303.911
CY 2,1995,147,1998,22.537,88.031,110.568
CY 2,1995,147,1999,22.553,87.784,110.338
CY 2,1995,147,2000,23.661,89.035,112.696
CY 2,1995,147,2001,23.672,65.820,89.492
CY 2,1995,147,2002,23.672,74.698,98.370
CY 2,1995,147,2003,24.134,50.985,75.119
CY 2,1995,147,2004,33.958,0,33.958
CY 2,1995,147,2005,33.958,0,33.958
CY 2,1995,147,2006,33.958,0,33.958
CY 2,1995,147,2007,34.012,0,34.012
CY 2,1995,147,2008,34.012,0,34.012
CY 2,1995,147,2009,34.012,0,34.012
CY 2,1995,147,2010,34.012,0,34.012
CY 2,1995,148,1995,0,51.576,51.576
CY 2,1995,148,1996,191.608,587.526,779.134
CY 2,1995,148,1997,240.096,536.016,776.112
CY 2,1995,148,1998,525.048,48.817,573.866
CY 2,1995,148,1999,528.247,45.619,573.866
CY 2,1995,148,2000,553.413,0,553.413
CY 2,1995,148,2001,553.413,0,553.413
CY 2,1995,148,2002,553.413,0,553.413
CY 2,1995,148,2003,553.413,0,553.413
CY 2,1995,148,2004,553.413,0,553.413
CY 2,1995,148,2005,553.413,0,553.413
CY 2,1995,148,2006,553.413,0,553.413
CY 2,1995,148,2007,553.413,0,553.413
CY 2,1995,148,2008,553.413,0,553.413
CY 2,1995,148,2009,553.413,0,553.413
CY 2,1995,148,2010,553.413,0,553.413
CY 2,1995,149,1995,5.869,217.851,223.720
CY 2,1995,149,1996,68.766,197.868,266.633
CY 2,1995,149,1997,72.650,215.156,287.806
CY 2,1995,149,1998,107.536,195.995,303.531
CY 2,1995,149,1999,107.880,192.564,300.444
CY 2,1995,149,2000,107.880,170.405,278.285
CY 2,1995,149,2001,110.745,97.210,207.956
CY 2,1995,149,2002,147.997,77.217,225.214
CY 2,1995,149,2003,147.997,73.576,221.573
CY 2,1995,149,2004,147.997,71.259,219.256
CY 2,1995,149,2005,147.997,72.400,220.397
CY 2,1995,149,2006,184.925,0,184.925
CY 2,1995,149,2007,184.925,0,184.925
CY 2,1995,149,2008,184.925,0,184.925
CY 2,1995,149,2009,184.925,0,184.925
CY 2,1995,149,2010,184.925,0,184.925
CY 2,1995,150,1995,11.145,42.107,53.252
CY 2,1995,150,1996,24.240,293.756,317.996
CY 2,1995,150,1997,27.814,218.611,246.425
CY 2,1995,150,1998,154.463,106.687,261.150
CY 2,1995,150,1999,154.463,8.596,163.058
CY 2,1995,150,2000,162.679,0,162.679
CY 2,1995,150,2001,162.679,0,162.679
CY 2,1995,150,2002,162.679,0,162.679
CY 2,1995,150,2003,162.679,0,162.679
CY 2,1995,150,2004,162.679,0,162.679
CY 2,1995,150,2005,162.679,0,162.679
CY 2,1995,150,2006,162.679,0,162.679
CY 2,1995,150,2007,162.679,0,162.679
CY 2,1995,150,2008,162.679,0,162.679
CY 2,1995,150,2009,162.679,0,162.679
CY 2,1995,150,2010,162.679,0,162.679
CY 2,1995,151,1995,0,51.576,51.576
CY 2,1995,151,1996,0,381.218,381.218
CY 2,1995,151,1997,277,0,277
CY 2,1995,151,1998,277,0,277
CY 2,1995,151,1999,277,0,277
CY 2,1995,151,2000,277,0,277
CY 2,1995,151,2001,277,0,277
CY 2,1995,151,2002,277,0,277
CY 2,1995,151,2003,277,0,277
CY 2,1995,151,2004,277,0,277
CY 2,1995,151,2005,277,0,277
CY 2,1995,151,2006,277,0,277
CY 2,1995,151,2007,277,0,277
CY 2,1995,151,2008,277,0,277
CY 2,1995,151,2009,277,0,277
CY 2,1995,151,2010,277,0,277
CY 2,1995,152,1995,144,1.502.497,1.502.641
CY 2,1995,152,1996,63.695,1.509.772,1.573.468
CY 2,1995,152,1997,153.101,1.710.283,1.863.384
CY 2,1995,152,1998,153.101,362.282,515.383
CY 2,1995,152,1999,295.693,108.438,404.131
CY 2,1995,152,2000,345.603,52.421,398.024
CY 2,1995,152,2001,345.603,56.040,401.643
CY 2,1995,152,2002,345.603,51.840,397.443
CY 2,1995,152,2003,345.603,50.843,396.446
CY 2,1995,152,2004,350.297,47.568,397.865
CY 2,1995,152,2005,350.297,47.157,397.454
CY 2,1995,152,2006,350.297,48.294,398.591
CY 2,1995,152,2007,350.297,49.221,399.519
CY 2,1995,152,2008,375.985,14.448,390.433
CY 2,1995,152,2009,391.884,0,391.884
CY 2,1995,152,2010,391.884,0,391.884
CY 2,1995,153,1995,0,51.576,51.576
